From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)	Gene Ontology IDs
CDPKS_ARATH	Q9FKW4	CDPKS_ARATH	Calcium-dependent protein kinase 28 (EC 2.7.11.1)	CPK28 At5g66210 K2A18.29	Arabidopsis thaliana (Mouse-ear cress)	523	FUNCTION: May play a role in signal transduction pathways that involve calcium as a second messenger (Probable). Acts as developmentally controlled regulator for coordinated stem elongation and vascular development. Acts as key component which contributes to the developmental switch that establishes the transition from vegetative to reproductive growth (PubMed:23252373). Involved in pathogen-associated molecular pattern (PAMP)-triggered immunity (PTI) signaling. Interacts with and phosphorylates the kinase BIK1, a central rate-limiting kinase in PTI signaling. Facilitates BIK1 turnover and negatively regulates BIK1-mediated immune responses triggered by several PAMPs. Its kinase activity is necessary and sufficient for its function in PTI signaling (PubMed:25525792). {ECO:0000269|PubMed:23252373, ECO:0000269|PubMed:25525792, ECO:0000305|PubMed:23252373}.			TISSUE SPECIFICITY: Expressed in vascular and meristematic tissues throughout plant development. {ECO:0000269|PubMed:23252373}.	cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine phosphatase activity [GO:0004722]; defense response [GO:0006952]; intracellular signal transduction [GO:0035556]; negative regulation of defense response to bacterium [GO:1900425]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of secondary shoot formation [GO:2000032]	GO:0004674; GO:0004683; GO:0004722; GO:0005509; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0005886; GO:0006468; GO:0006952; GO:0009931; GO:0018105; GO:0035556; GO:0046777; GO:0106310; GO:1900425; GO:2000032
THE1_ARATH	Q9LK35	THE1_ARATH	Receptor-like protein kinase THESEUS 1 (EC 2.7.11.-)	THE1 At5g54380 GA469.3	Arabidopsis thaliana (Mouse-ear cress)	855	FUNCTION: Receptor-like protein kinase required for cell elongation during vegetative growth, mostly in a brassinosteroid-(BR-) independent manner. Mediates the response of growing plant cells to the perturbation of cellulose synthesis and may act as a cell-wall-integrity sensor. Controls ectopic-lignin accumulation in cellulose-deficient mutant backgrounds. {ECO:0000269|PubMed:17540573, ECO:0000269|PubMed:19383785}.			TISSUE SPECIFICITY: Expressed in most vegetative tissues, including leaves, stems and roots, primarily in expanding cells and vascular tissue. {ECO:0000269|PubMed:17540573, ECO:0000269|PubMed:19383785}.	plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; defense response to fungus [GO:0050832]; protein autophosphorylation [GO:0046777]; response to brassinosteroid [GO:0009741]; unidimensional cell growth [GO:0009826]	GO:0004672; GO:0004674; GO:0004714; GO:0005524; GO:0005886; GO:0009506; GO:0009741; GO:0009826; GO:0046777; GO:0050832
FERON_ARATH	Q9SCZ4	FERON_ARATH	Receptor-like protein kinase FERONIA (EC 2.7.11.1) (Protein SIRENE)	FER AAK1 SIR SRN At3g51550 F26O13.190	Arabidopsis thaliana (Mouse-ear cress)	895	FUNCTION: Receptor-like protein kinase that mediates the female control of male gamete delivery during fertilization, including growth cessation of compatible pollen tubes ensuring a reproductive isolation barriers, by regulating MLO7 subcellular polarization upon pollen tube perception in the female gametophyte synergids. Required for cell elongation during vegetative growth, mostly in a brassinosteroids- (BR-) independent manner. Acts as an upstream regulator for the Rac/Rop-signaling pathway that controls ROS-mediated root hair development. Seems to regulate a cross-talk between brassinosteroids and ethylene signaling pathways during hypocotyl elongation. Negative regulator of brassinosteroid response in light-grown hypocotyls, but required for brassinosteroid response in etiolated seedlings. Mediates sensitivity to powdery mildew (e.g. Golovinomyces orontii). Positive regulator of auxin-promoted growth that represses the abscisic acid (ABA) signaling via the activation of ABI2 phosphatase. Required for RALF1-mediated extracellular alkalinization in a signaling pathway preventing cell expansion. {ECO:0000269|PubMed:17673660, ECO:0000269|PubMed:19383785, ECO:0000269|PubMed:20400488, ECO:0000269|PubMed:20876100, ECO:0000269|PubMed:21071669, ECO:0000269|PubMed:22908257, ECO:0000269|PubMed:24458638}.		DEVELOPMENTAL STAGE: Detected in floral apices, young ovule primordia, and young anthers with immature pollen, but not in older anthers with mature pollen. After fertilization, expressed in globular embryos. {ECO:0000269|PubMed:17673660}.	TISSUE SPECIFICITY: Expressed in leaves, buds, flowers, siliques, young ovules primordia, and young anthers with immature pollen, but not detected in mature pollen. Highest expression in the synergid cells of the female gametophyte. {ECO:0000269|PubMed:17673660, ECO:0000269|PubMed:19383785}.	filiform apparatus [GO:0043680]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; abscisic acid-activated signaling pathway [GO:0009738]; brassinosteroid mediated signaling pathway [GO:0009742]; circadian regulation of gene expression [GO:0032922]; defense response to fungus [GO:0050832]; ethylene-activated signaling pathway [GO:0009873]; negative regulation of abscisic acid-activated signaling pathway [GO:0009788]; negative regulation of cell growth [GO:0030308]; pollen tube reception [GO:0010483]; post-embryonic development [GO:0009791]; protein autophosphorylation [GO:0046777]; response to brassinosteroid [GO:0009741]; response to ethylene [GO:0009723]; root development [GO:0048364]; stomatal movement [GO:0010118]	GO:0004672; GO:0004674; GO:0005524; GO:0005886; GO:0009506; GO:0009723; GO:0009738; GO:0009741; GO:0009742; GO:0009788; GO:0009791; GO:0009873; GO:0010118; GO:0010483; GO:0030308; GO:0032922; GO:0043680; GO:0046777; GO:0048364; GO:0050832; GO:0106310
G6PIP_ARATH	Q8H103	G6PIP_ARATH	Glucose-6-phosphate isomerase 1, chloroplastic (GPI 1) (EC 5.3.1.9) (Phosphoglucose isomerase 1) (PGI 1) (Phosphohexose isomerase) (PHI)	PGI1 pgi2 pgi3 At4g24620 F22K18.180	Arabidopsis thaliana (Mouse-ear cress)	613	FUNCTION: Promotes the synthesis of starch in leaves. {ECO:0000269|PubMed:10806248}.	PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 2/4.; PATHWAY: Carbohydrate biosynthesis; gluconeogenesis.			chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; plastid [GO:0009536]; carbohydrate derivative binding [GO:0097367]; glucose-6-phosphate isomerase activity [GO:0004347]; monosaccharide binding [GO:0048029]; gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096]; positive regulation of flower development [GO:0009911]; starch metabolic process [GO:0005982]	GO:0004347; GO:0005829; GO:0005982; GO:0006094; GO:0006096; GO:0009507; GO:0009536; GO:0009570; GO:0009911; GO:0009941; GO:0048029; GO:0051156; GO:0097367
ORP2A_ARATH	Q940Y1	ORP2A_ARATH	Oxysterol-binding protein-related protein 2A (OSBP-related protein 2A)	ORP2A At4g22540 F7K2.120	Arabidopsis thaliana (Mouse-ear cress)	721	FUNCTION: May be involved in the transport of sterols. {ECO:0000250}.			TISSUE SPECIFICITY: Expressed in roots, leaves, stems and flowers. {ECO:0000269|PubMed:16897474}.	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]	GO:0005829; GO:0015248; GO:0016020; GO:0032934; GO:0043231
FATA_CORSA	Q42712	FATA_CORSA	Oleoyl-acyl carrier protein thioesterase, chloroplastic (EC 3.1.2.14) (18:0-acyl-carrier protein thioesterase) (18:0-ACP thioesterase) (Acyl-[acyl-carrier-protein] hydrolase)	FATA	Coriandrum sativum (Coriander) (Chinese parsley)	369	FUNCTION: Plays an essential role in chain termination during de novo fatty acid synthesis. High thioesterase activity for oleoyl-ACP versus other acyl-ACPs.				chloroplast [GO:0009507]; myristoyl-[acyl-carrier-protein] hydrolase activity [GO:0016295]; oleoyl-[acyl-carrier-protein] hydrolase activity [GO:0004320]; palmitoyl-[acyl-carrier-protein] hydrolase activity [GO:0016296]; fatty acid biosynthetic process [GO:0006633]	GO:0004320; GO:0006633; GO:0009507; GO:0016295; GO:0016296
PMA4_NICPL	Q03194	PMA4_NICPL	Plasma membrane ATPase 4 (EC 7.1.2.1) (Proton pump 4)	PMA4	Nicotiana plumbaginifolia (Leadwort-leaved tobacco) (Tex-Mex tobacco)	952	FUNCTION: The plasma membrane ATPase of plants and fungi is a hydrogen ion pump. The proton gradient it generates drives the active transport of nutrients by H(+)-symport. The resulting external acidification and/or internal alkinization may mediate growth responses.			TISSUE SPECIFICITY: Expressed at high levels in root, stem, leaf and flower.	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type proton-exporting transporter activity [GO:0008553]; proton export across plasma membrane [GO:0120029]	GO:0005524; GO:0005886; GO:0008553; GO:0016887; GO:0046872; GO:0120029
ARFE_ORYSJ	Q6Z2W3	ARFE_ORYSJ	Auxin response factor 5	ARF5 Os02g0141100 LOC_Os02g04810 OJ1679_B08.29 OsJ_005181	Oryza sativa subsp. japonica (Rice)	1142	FUNCTION: Auxin response factors (ARFs) are transcriptional factors that bind specifically to the DNA sequence 5'-TGTCTC-3' found in the auxin-responsive promoter elements (AuxREs).			TISSUE SPECIFICITY: Expressed in roots, culms, leaves and young panicles. {ECO:0000269|PubMed:17408882}.	nucleus [GO:0005634]; DNA binding [GO:0003677]; auxin-activated signaling pathway [GO:0009734]; regulation of DNA-templated transcription [GO:0006355]	GO:0003677; GO:0005634; GO:0006355; GO:0009734
ARFS_ARATH	Q8RYC8	ARFS_ARATH	Auxin response factor 19 (Auxin-responsive protein IAA22)	ARF19 IAA22 At1g19220 T29M8.9	Arabidopsis thaliana (Mouse-ear cress)	1086	FUNCTION: Auxin response factors (ARFs) are transcriptional factors that bind specifically to the DNA sequence 5'-TGTCTC-3' found in the auxin-responsive promoter elements (AuxREs). Could act as transcriptional activator or repressor. Formation of heterodimers with Aux/IAA proteins may alter their ability to modulate early auxin response genes expression. Involved in ethylene responses. Regulates lateral root formation through direct regulation of LBD16 and/or LBD29 (PubMed:29184030). Functionally redundant with ARF7 (PubMed:29184030). Involved in cellular dedifferentiation during callus formation on callus-inducing medium (CIM) and in an ATXR2-dependent manner (PubMed:29184030). {ECO:0000269|PubMed:12036261, ECO:0000269|PubMed:16461383, ECO:0000269|PubMed:17259263, ECO:0000269|PubMed:29184030}.				nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; transcription cis-regulatory region binding [GO:0000976]; auxin-activated signaling pathway [GO:0009734]; callus formation [GO:1990110]; lateral root development [GO:0048527]; lateral root formation [GO:0010311]; leaf development [GO:0048366]; response to auxin [GO:0009733]; response to ethylene [GO:0009723]	GO:0000976; GO:0003677; GO:0003700; GO:0005634; GO:0009723; GO:0009733; GO:0009734; GO:0010311; GO:0043565; GO:0048366; GO:0048527; GO:1990110
ARFS_ORYSJ	Q0D9R7	ARFS_ORYSJ	Auxin response factor 19 (OsARF7a)	ARF19 ARF7A Os06g0702600 LOC_Os06g48950 OJ1215_E11.1 P0596H10.43	Oryza sativa subsp. japonica (Rice)	1161	FUNCTION: Auxin response factors (ARFs) are transcriptional factors that bind specifically to the DNA sequence 5'-TGTCTC-3' found in the auxin-responsive promoter elements (AuxREs).			TISSUE SPECIFICITY: Expressed in roots, culms, leaves and young panicles. {ECO:0000269|PubMed:17408882}.	nucleus [GO:0005634]; DNA binding [GO:0003677]; auxin-activated signaling pathway [GO:0009734]; regulation of DNA-templated transcription [GO:0006355]	GO:0003677; GO:0005634; GO:0006355; GO:0009734
DRL4_ARATH	Q9SX38	DRL4_ARATH	Putative disease resistance protein At1g50180	At1g50180 F14I3.19	Arabidopsis thaliana (Mouse-ear cress)	857	FUNCTION: Potential disease resistance protein. {ECO:0000250}.				plasmodesma [GO:0009506]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; defense response to other organism [GO:0098542]	GO:0005524; GO:0009506; GO:0043531; GO:0098542
RP8L3_ARATH	Q9FJB5	RP8L3_ARATH	Disease resistance RPP8-like protein 3	RPP8L3 At5g35450 K21B8.10 MOK9.3	Arabidopsis thaliana (Mouse-ear cress)	901	FUNCTION: Disease resistance protein.				ADP binding [GO:0043531]; ATP binding [GO:0005524]; defense response to other organism [GO:0098542]	GO:0005524; GO:0043531; GO:0098542
RPM1_ARATH	Q39214	RPM1_ARATH	Disease resistance protein RPM1 (Resistance to Pseudomonas syringae protein 3) (Resistance to Pseudomonas syringae pv. Maculicola protein 1)	RPM1 RPS3 At3g07040 F17A9.20	Arabidopsis thaliana (Mouse-ear cress)	926	FUNCTION: Disease resistance (R) protein that specifically recognizes the AvrRpm1 type III effector avirulence protein from Pseudomonas syringae (PubMed:9861059). Resistance proteins guard the plant against pathogens that contain an appropriate avirulence protein via an indirect interaction with this avirulence protein (PubMed:9861059). That triggers a defense system including the hypersensitive response (HR), which restricts the pathogen growth (PubMed:9861059). Acts via its interaction with RIN4, and probably triggers the plant resistance when RIN4 is phosphorylated by AvrRpm1. It is then degraded at the onset of the hypersensitive response (PubMed:9861059). {ECO:0000269|PubMed:9861059}.				endomembrane system [GO:0012505]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; plasma membrane [GO:0005886]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; nucleotide binding [GO:0000166]; defense response to other organism [GO:0098542]; plant-type hypersensitive response [GO:0009626]	GO:0000166; GO:0005524; GO:0005886; GO:0009626; GO:0012505; GO:0031234; GO:0043531; GO:0098542
ABAH1_SOLLC	A9QNE7	ABAH1_SOLLC	Abscisic acid 8'-hydroxylase CYP707A1 (ABA 8'-hydroxylase CYP707A1) (SlCYP707A1) (EC 1.14.14.137) (Cytochrome P450 707A1)	CYP707A1	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	476	FUNCTION: Involved in the oxidative degradation of abscisic acid, especially in pollinated ovaries. {ECO:0000269|PubMed:19322584}.	PATHWAY: Plant hormone degradation; abscisic acid degradation. {ECO:0000250|UniProtKB:Q949P1}.	DEVELOPMENTAL STAGE: In unpollinated ovaries, present in the placenta, but not in ovules and pericarp. In pollinated ovaries, accumulates mostly in the placenta and ovules and, at low levels, in the pericarp. {ECO:0000269|PubMed:19322584}.	TISSUE SPECIFICITY: Expressed in ovaries (specifically in ovules and placenta), sepals, petals and pedicels. {ECO:0000269|PubMed:19322584}.	membrane [GO:0016020]; (+)-abscisic acid 8'-hydroxylase activity [GO:0010295]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; abscisic acid catabolic process [GO:0046345]; pollination [GO:0009856]; response to abscisic acid [GO:0009737]; response to auxin [GO:0009733]; response to water deprivation [GO:0009414]; sterol metabolic process [GO:0016125]	GO:0005506; GO:0009414; GO:0009733; GO:0009737; GO:0009856; GO:0010295; GO:0016020; GO:0016125; GO:0020037; GO:0046345
ABAH2_SOLLC	K4CI52	ABAH2_SOLLC	Abscisic acid 8'-hydroxylase CYP707A2 (ABA 8'-hydroxylase CYP707A2) (SlCYP707A2) (EC 1.14.14.137) (Cytochrome P450 707A2)	CYP707A2 Solyc08g005610.2.1	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	469	FUNCTION: Negative regulator of fruit ripening involved in the oxidative degradation of abscisic acid (ABA). {ECO:0000269|PubMed:25039074}.	PATHWAY: Plant hormone degradation; abscisic acid degradation. {ECO:0000269|PubMed:25039074}.	DEVELOPMENTAL STAGE: Fluctuant expression pattern with four peaks during development, and then it increased rapidly during ripening. {ECO:0000269|PubMed:25039074}.	TISSUE SPECIFICITY: Expressed at low levels in fruit. {ECO:0000269|PubMed:25039074}.	membrane [GO:0016020]; (+)-abscisic acid 8'-hydroxylase activity [GO:0010295]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]; abscisic acid catabolic process [GO:0046345]; abscisic acid metabolic process [GO:0009687]; fruit ripening [GO:0009835]; response to abscisic acid [GO:0009737]; response to water deprivation [GO:0009414]; sterol metabolic process [GO:0016125]	GO:0005506; GO:0009414; GO:0009687; GO:0009737; GO:0009835; GO:0010295; GO:0016020; GO:0016125; GO:0016709; GO:0020037; GO:0046345
GLYC6_ARATH	Q9LM59	GLYC6_ARATH	Serine hydroxymethyltransferase 6 (AtSHMT6) (EC 2.1.2.1) (Glycine hydroxymethyltransferase 6) (Serine methylase 6)	SHM6 SHMT6 At1g22020 F2E2.7	Arabidopsis thaliana (Mouse-ear cress)	599	FUNCTION: Catalyzes the interconversion of serine and glycine. {ECO:0000250}.	PATHWAY: One-carbon metabolism; tetrahydrofolate interconversion.			cytoplasm [GO:0005737]; glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]; serine binding [GO:0070905]; zinc ion binding [GO:0008270]; folic acid metabolic process [GO:0046655]; glycine biosynthetic process from serine [GO:0019264]; L-serine catabolic process [GO:0006565]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate interconversion [GO:0035999]; tetrahydrofolate metabolic process [GO:0046653]	GO:0004372; GO:0005737; GO:0006565; GO:0006730; GO:0008270; GO:0019264; GO:0030170; GO:0035999; GO:0046653; GO:0046655; GO:0070905
